Category,Option,Choice Name,Stat 1,Stat 2,Body Part
ANCESTRY,Forager,Sparrow,Reflex,Finesse,Hooked Beak
ANCESTRY,Forager,Pigeon,Endure,Fortitude,Hooked Beak
ANCESTRY,Climber,Parrot,Finesse,Might,Chisel Beak
ANCESTRY,Climber,Woodpecker,Fortitude,Logic,Chisel Beak
ANCESTRY,Scavenger,Crow,Knowledge,Logic,Black Plumage
ANCESTRY,Scavenger,Vulture,Vitality,Fortitude,Black Plumage
ANCESTRY,Predator,Hawk,Awareness,Finesse,Sharp Eyes
ANCESTRY,Predator,Owl,Finesse,Intuition,Sharp Eyes
DEFENSE,Retreat,Fly-By,Reflex,Finesse,Wide Wings
DEFENSE,Retreat,Updraft,Logic,Awareness,Wide Wings
DEFENSE,Stealth,Cloud,Finesse,Logic,Mottled Feathers
DEFENSE,Stealth,Still,Will,Finesse,Mottled Feathers
DEFENSE,Intimidate,Screech,Charm,Fortitude,Large Syrinx
DEFENSE,Intimidate,Puff,Charm,Fortitude,Large Syrinx
DEFENSE,Tough,Down,Fortitude,Vitality,Oily Feathers
DEFENSE,Tough,Oil,Endure,Fortitude,Oily Feathers
OFFENSE,Claws,Talon,Finesse,Might,Large Talons
OFFENSE,Claws,Rake,Reflex,Finesse,Large Talons
OFFENSE,Strikes,Peck,Finesse,Logic,Sharp Beak
OFFENSE,Strikes,Wing,Might,Reflex,Sharp Beak
OFFENSE,Biological,Mimic,Fortitude,Charm,Throat Muscles
OFFENSE,Biological,Keen,Awareness,Intuition,Throat Muscles
OFFENSE,Strength,Lift,Might,Endure,Barrel Chest
OFFENSE,Strength,Drop,Logic,Might,Barrel Chest
SOCIAL,Ornate,Peacock,Charm,Finesse,Tail Fan
SOCIAL,Ornate,Songbird,Charm,Knowledge,Tail Fan
SOCIAL,Pack,Flock,Will,Awareness,Forward Stance
SOCIAL,Pack,Mob,Logic,Might,Forward Stance
SOCIAL,Vocal,Polyglot,Knowledge,Logic,Vocal Tones
SOCIAL,Vocal,Call,Intuition,Will,Vocal Tones
SOCIAL,Solitary,Vigil,Intuition,Awareness,Wide Eyes
SOCIAL,Solitary,Hermit,Will,Knowledge,Wide Eyes
ENVIRON,Varied,Migrate,Endure,Knowledge,Webbed Feet
ENVIRON,Varied,Coastal,Vitality,Reflex,Webbed Feet
ENVIRON,Toxic,Filter,Fortitude,Vitality,Barbed Throat
ENVIRON,Toxic,Scav,Endure,Fortitude,Barbed Throat
ENVIRON,Safe,Messenger,Logic,Charm,Head Crest
ENVIRON,Safe,Nest,Will,Knowledge,Head Crest
ADAPT,Senses,Eagle,Awareness,Logic,Large Pupils
ADAPT,Senses,Owl-Eye,Awareness,Intuition,Large Pupils
ADAPT,Tactics,Coordinate,Logic,Reflex,Bobbing Head
ADAPT,Tactics,Skirmish,Reflex,Finesse,Bobbing Head
ADAPT,Tool Use,Weaver,Finesse,Knowledge,Foot Talons
ADAPT,Tool Use,Scribe,Knowledge,Logic,Foot Talons
ADAPT,Resistance,Hollow,Fortitude,Will,Light Build
ADAPT,Resistance,Grounded,Will,Endure,Light Build
