Talent_Name,Type,Requirement_Type,Requirement_ID,Requirement_Value,Description,Effect_Logic
Sunder,Passive,Skill_Rank,The Great Weapons,3,Bonus damage against shields and armor.,"damage_bonus_vs_tag(shield, armor)"
Follow Through,Reaction,Skill_Rank,The Great Weapons,6,"If you kill a target or break an object, deal damage to an adjacent target.",on_kill(cleave_damage)
Impact,Passive,Skill_Rank,The Great Wepons,10,Critical hits knock targets prone or fling them backwards.,"crit_effect(knockback, prone)"
Heavy Pull,Passive,Skill_Rank,The Draw,3,You can use your Might stat for damage instead of Reflex/Finesse.,"stat_swap(damage, might)"
Skewering Shot,Passive,Skill_Rank,The Draw,6,Your shots can pass through one enemy to hit a second one behind them.,projectile_pierce(1)
Artillery,Passive,Skill_Rank,The Draw,10,Ignore range penalties. Your arrows punch through cover.,ignore_range_penalty; penetrate_cover
Loom,Active,Skill_Rank,Intimidation,3,You can Intimidate using Strength instead of Charm/Social stats.,"stat_swap(social_check, might)"
Terrify,Passive,Skill_Rank,Intimidation,6,"Enemies you intimidate hesitate, acting last in the turn order.",status_effect(initiative_last)
The Aura,Passive,Skill_Rank,Intimidation,10,Enemies within melee range must pass a check to attack you.,aura(sanctuary_effect)
Iron Grip,Passive,Skill_Rank,Athletics,3,You cannot be disarmed or forced to drop something you are holding.,immunity(disarm)
Wrecking Ball,Passive,Skill_Rank,Athletics,6,"You deal double damage to inanimate objects (doors, walls).","damage_mult_vs_tag(object, 2.0)"
Titan,Passive,Skill_Rank,Athletics,10,Your lifting/carrying capacity is doubled. You can swim/climb at full running speed.,"carry_cap_mult(2); move_speed(climb, normal)"
Second Skin,Passive,Skill_Rank,Plate,3,Sleeping in heavy armor causes no fatigue penalty.,ignore_fatigue(armor_sleep)
Glancing Blows,Passive,Skill_Rank,Plate,6,Reduces Critical Hit damage taken by half.,crit_defense_mult(0.5)
Juggernaut,Passive,Skill_Rank,Plate,10,You cannot be knocked prone or pushed against your will while armored.,"immunity(prone, push)"
Shield Wall,Active,Skill_Rank,The Shield,3,You provide heavy cover to adjacent allies.,"aura(adjacent_allies, heavy_cover)"
Bash,Active,Skill_Rank,The Shield,6,You can make an off-hand attack with your shield to stun enemies.,attack_bonus_action(stun)
Interpose,Reaction,Skill_Rank,The Shield,10,"Once per round, you can take a hit meant for an adjacent ally.","redirect_damage(ally, self)"
Thick Skin,Passive,Skill_Rank,Stoicism,3,Ignore penalties from pain or minor wounds.,ignore_penalty(pain)
Unbothered,Passive,Skill_Rank,Stoicism,6,You are immune to taunts and social embarrassment.,"immunity(taunt, social_shame)"
Death’s Door,Passive,Skill_Rank,Stoicism,10,You stay conscious and can act for one round after hitting 0 HP.,death_delay(1_round)
Workhorse,Passive,Skill_Rank,Labor,3,You can perform heavy labor for 16 hours without exhaustion.,stamina_mult(2.0)
Structural Eye,Passive,Skill_Rank,Labor,6,You instantly spot weak points in stone/wood structures (bonus to Demolition).,"skill_bonus(demolition, advantage)"
Atlas,Active,Skill_Rank,Labor,10,"For one turn, you can hold an impossible weight (e.g., a falling portcullis).","temp_stat_boost(strength, infinite)"
Quick Draw,Active,Skill_Rank,The Blades,3,Drawing a hidden weapon is a free action.,equip_speed(instant)
Bleed Out,Passive,Skill_Rank,The Blades,6,Critical hits cause ongoing damage over time.,crit_effect(bleed)
Vital Point,Passive,Skill_Rank,The Blades,10,You ignore armor rating on targets that are unaware of you.,ignore_armor(condition:unaware)
Juggler,Active,Skill_Rank,The Thrown,3,You can draw and throw two small weapons in a single action.,"multi_attack(thrown, 2)"
Ricochet,Active,Skill_Rank,The Thrown,6,You can bounce thrown weapons off walls to hit enemies behind cover.,ignore_cover(bounce)
Perfect Arc,Passive,Skill_Rank,The Thrown,10,Range penalties for thrown weapons are removed.,range_penalty(0)
Goad,Active,Skill_Rank,Repartee,3,Force an enemy to focus their attacks on you (drawing aggro).,taunt_target
Stinging Wit,Active,Skill_Rank,Repartee,6,Your insults cause enemies to take a penalty to their next roll.,debuff_target(roll_penalty)
Last Word,Reaction,Skill_Rank,Repartee,10,"If you kill an enemy, you can demoralize their allies instantly.",on_kill(aoe_fear)
Tumbler,Active,Skill_Rank,Mechanism,3,You can attempt to pick locks silently during combat.,stealth_action(lockpick)
Saboteur,Passive,Skill_Rank,Mechanism,6,You can rig a trap or jam a door in half the normal time.,"craft_speed(traps, 0.5)"
Skeleton Key,Active,Skill_Rank,Mechanism,10,You can unlock any non-magical lock instantly without rolling.,"auto_success(lockpick, non_magical)"
Fitted,Passive,Skill_Rank,Light,3,You suffer no stealth penalties while wearing leather/hide.,ignore_penalty(stealth_armor)
Roll With It,Reaction,Skill_Rank,Light,6,"When you take falling damage, reduce it by half.","damage_resist(fall, 0.5)"
Evasion,Reaction,Skill_Rank,Light,10,"If an AOE attack allows a save for half damage, you take zero on a success.",save_effect(aoe_zero_damage)
Fast Hands,Reaction,Skill_Rank,Snares,3,You can deploy caltrops or smoke bombs as a reaction.,quick_use(trap_item)
Hidden Trap,Passive,Skill_Rank,Snares,6,Enemies suffer a penalty to spot traps you have set.,trap_difficulty_increase
Chain Reaction,Active,Skill_Rank,Snares,10,You can trigger your traps remotely from a distance.,remote_trigger(trap)
Poker Face,Passive,Skill_Rank,Guile,3,You are immune to Insight checks trying to read your emotions.,immunity(insight_check)
Feint,Active,Skill_Rank,Guile,6,"You can use Guile to trick an enemy, giving you Advantage on your next attack.",action_buff(advantage_next_attack)
Imposter,Active,Skill_Rank,Guile,10,You can mimic voices and mannerisms perfectly after listening for 1 minute.,mimic_voice(perfect)
Cat’s Grace,Passive,Skill_Rank,Motion,3,You possess perfect balance on narrow ledges/ropes.,auto_success(balance)
Wall Run,Active,Skill_Rank,Motion,6,You can move vertically up walls as part of your movement.,movement_mode(wall_run)
Ghost,Passive,Skill_Rank,Motion,10,"You leave no footprints and make no sound, even when running.",stealth_bonus(silent_move)
Blend,Passive,Skill_Rank,Bio,3,+2 to Stealth in natural environments matching your armor.,"conditional_bonus(stealth, biome_match)"
Regrowth,Passive,Skill_Rank,Bio,6,"While resting in Bio armor, you heal faster than normal.",rest_regen_bonus
Adaptation,Passive,Skill_Rank,Bio,10,You are immune to extreme weather (heat/cold) while wearing this armor.,immunity(weather_extreme)
Field Medic,Passive,Skill_Rank,Tinctures,3,Applying a salve/bandage takes half the time.,"use_speed(medical, 0.5)"
Potency,Passive,Skill_Rank,Tinctures,6,Consumables you craft heal/buff for 25% more.,item_effect_mult(1.25)
Witch Doctor,Active,Skill_Rank,Tinctures,10,You can scavenge nearby flora to create a generic antidote/salve anywhere.,craft_anywhere(medical)
First Impression,Passive,Skill_Rank,Poise,3,NPCs start with a Friendly disposition towards you by default.,npc_attitude_start(friendly)
Radiance,Active,Skill_Rank,Poise,6,Your presence calms panicked crowds or allies.,"remove_status(panic, aoe)"
Purity,Passive,Skill_Rank,Poise,10,You are immune to non-magical diseases and look eternally youthful.,immunity(disease_mundane)
Forager,Passive,Skill_Rank,Nature,3,You always find enough food/water for yourself in the wild.,auto_success(forage_self)
Beast Friend,Passive,Skill_Rank,Nature,6,Wild animals will not attack you unless provoked.,faction_peace(animals)
Apex,Passive,Skill_Rank,Nature,10,You can track enemies over water or stone where no tracks should exist.,track_difficulty(impossible)
Iron Knuckle,Passive,Skill_Rank,The Fist,3,Your unarmed strikes do lethal damage instead of subdual.,unarmed_damage_type(lethal)
Clinch,Active,Skill_Rank,The Fist,6,You gain a bonus to grapple or hold enemies in place.,bonus(grapple)
Quivering Palm,Active,Skill_Rank,The Fist,10,You can stun an enemy with a precise unarmed strike.,status_effect(stun)
Mobile Fire,Passive,Skill_Rank,The Simple Shot,3,You do not suffer penalties for shooting while moving.,ignore_penalty(move_shoot)
Rapid Reload,Passive,Skill_Rank,The Simple Shot,6,Reloading a sling/shortbow is a free action.,reload_speed(instant)
Trick Shot,Active,Skill_Rank,The Simple Shot,10,You can shoot objects out of people's hands.,disarm_ranged
Pressure,Passive,Skill_Rank,Coercion,3,You gain bonuses to Coercion the longer the interrogation lasts.,skill_bonus_stack(time)
Cornered,Passive,Skill_Rank,Coercion,6,Enemies gain a penalty to morale when they have no escape route.,debuff_morale(condition:no_escape)
The Gaze,Active,Skill_Rank,Coercion,10,You can stop a hostile creature from attacking just by locking eyes.,cc_effect(paralyze_attack)
Patch Job,Active,Skill_Rank,Craft,3,You can temporarily repair broken gear in 1 action.,repair_speed(instant_temp)
Hardening,Passive,Skill_Rank,Craft,6,Armor/Weapons you craft have higher durability than standard.,craft_quality_bonus(durability)
Iron Stomach,Passive,Skill_Rank,Craft,10,You can eat spoiled food or drink mild poisons without effect.,immunity(ingested_poison)
