Family Name,Type,The Stat,Examples,Trait,Why this Stat?
Great weapons,Melee,MIGHT,"Greatsword, Maul",Impact,Raw muscle to swing heavy metal.
Ballistics,Ranged,MIGHT," Warbow, Arbalist",Power Shot, weight requires strength.
Blades,Melee,FINESSE,"Rapier, Shiv",Precision,Hand-eye coordination and dexterity.
Thrown,Ranged,FINESSE,"Throwing Axe, Kunai",Dual-Utility,Flick of the wrist and balance.
Fist Weapons,Melee,FORTITUDE,"Cestus, Claws",Clinch,Using your body’s hardness as a weapon.
Simple Shot,Ranged,FORTITUDE,"Shortbow, Sling",Mobile Fire,Cardio. Running and gunning without shaking.
Long Blade,Melee,LOGIC,"Katana, Arming Sword",Parry,Technical fighting. Analyzing the duel.
Blast,Ranged,LOGIC,"Grenade, Scattergun",Splash," Calculating arc, fuse time, and chemical mix."
Polearms,Melee,AWARENESS,"Spear, Halberd",Reach,Spatial awareness. Keeping the enemy at exact range.
Long Shotl,Ranged,AWARENESS,"Crossbow, Flintlock",Pierce,Aim. Lining up the sights. The Sniper.
Melee Exotics,Melee,CHARM,"Whip, Nunchaku",Wrap,Performance. Flow. Distracting the enemy.
Ranged Exotics,Ranged,CHARM,"Bolas, Blowgun",Debilitate,"Tricky, annoying, and stylish tools."
