Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Melon/Dome,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Melon/Dome,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Melon/Dome,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Ampullae Pores,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Ampullae Pores,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Ampullae Pores,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Lateral Line,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Lateral Line,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Lateral Line,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Large Lenses,1,Deep-Sight,Passive,0,Passive,Darkvision 120ft underwater.
Large Lenses,3,Flash,Action,0,1 Focus,Blind target.
Large Lenses,5,Hypnotize,Action,0,1/Day,Target is Charmed.
Olfactory Nares,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Olfactory Nares,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Olfactory Nares,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Wide-Set Eyes,1,Deep-Sight,Passive,0,Passive,Darkvision 120ft underwater.
Wide-Set Eyes,3,Flash,Action,0,1 Focus,Blind target.
Wide-Set Eyes,5,Hypnotize,Action,0,1/Day,Target is Charmed.
Illicium Light,1,Deep-Sight,Passive,0,Passive,Darkvision 120ft underwater.
Illicium Light,3,Flash,Action,0,1 Focus,Blind target.
Illicium Light,5,Hypnotize,Action,0,1/Day,Target is Charmed.
Parrot-Beak,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Parrot-Beak,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Parrot-Beak,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Chitin Gauntlets,1,Natural-Armor,Passive,0,Passive,+1 AR (Armor Rating).
Chitin Gauntlets,3,Deflect,Reaction,0,1 Stamina,Reduce incoming damage by 1d6.
Chitin Gauntlets,5,Unbreakable,Reaction,0,1/Day,Reduce one damage source to 0.
Suction Fingers,1,Hydro-Dynamic,Passive,0,Passive,Swim Speed = Walk Speed. No combat penalty underwater.
Suction Fingers,3,Dash,Action,0,1 Stamina,Double Movement speed for this turn.
Suction Fingers,5,Whirlpool,Action,0,1/Day,Create difficult terrain in 10ft radius.
Fin-Spurs,1,Hydro-Dynamic,Passive,0,Passive,Swim Speed = Walk Speed. No combat penalty underwater.
Fin-Spurs,3,Dash,Action,0,1 Stamina,Double Movement speed for this turn.
Fin-Spurs,5,Whirlpool,Action,0,1/Day,Create difficult terrain in 10ft radius.
Bone-Plate Head,1,Natural-Armor,Passive,0,Passive,+1 AR (Armor Rating).
Bone-Plate Head,3,Deflect,Reaction,0,1 Stamina,Reduce incoming damage by 1d6.
Bone-Plate Head,5,Unbreakable,Reaction,0,1/Day,Reduce one damage source to 0.
Electric Nodes,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Electric Nodes,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Electric Nodes,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Mucus Webbing,1,Hydro-Dynamic,Passive,0,Passive,Swim Speed = Walk Speed. No combat penalty underwater.
Mucus Webbing,3,Dash,Action,0,1 Stamina,Double Movement speed for this turn.
Mucus Webbing,5,Whirlpool,Action,0,1/Day,Create difficult terrain in 10ft radius.
Mantis-Club Fists,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Mantis-Club Fists,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Mantis-Club Fists,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Nematocysts,1,Liquid-Form,Passive,0,Passive,Squeeze through 1 inch gaps.
Nematocysts,3,Regenerate,Action,0,2 Stamina,Heal 1d8 HP if wet.
Nematocysts,5,Tsunami,Action,0,1/Day,Push all enemies back 15ft.
Fin-Calves,1,Hydro-Dynamic,Passive,0,Passive,Swim Speed = Walk Speed. No combat penalty underwater.
Fin-Calves,3,Dash,Action,0,1 Stamina,Double Movement speed for this turn.
Fin-Calves,5,Whirlpool,Action,0,1/Day,Create difficult terrain in 10ft radius.
Heavy Boots,1,Natural-Armor,Passive,0,Passive,+1 AR (Armor Rating).
Heavy Boots,3,Deflect,Reaction,0,1 Stamina,Reduce incoming damage by 1d6.
Heavy Boots,5,Unbreakable,Reaction,0,1/Day,Reduce one damage source to 0.
Armored Greaves,1,Natural-Armor,Passive,0,Passive,+1 AR (Armor Rating).
Armored Greaves,3,Deflect,Reaction,0,1 Stamina,Reduce incoming damage by 1d6.
Armored Greaves,5,Unbreakable,Reaction,0,1/Day,Reduce one damage source to 0.
Gas Bladder,1,Amphibious,Passive,0,Passive,Breathe Air and Water indefinitely.
Gas Bladder,3,Filter,Passive,0,1 Stamina,Immune to Inhaled Poisons for 10 minutes.
