Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Magnifying Lens,1,Eagle-Eyed,Passive,0,Passive,Treat Dim Light as Bright. See detail from 1 mile away.
Magnifying Lens,3,Focus,Bonus,0,1 Focus,Next Ranged Attack ignores Cover penalties.
Magnifying Lens,5,True-Sight,Action,0,1/Day,See Invisible/Camouflaged targets for 1 minute.
Tubular Eyes,1,Eagle-Eyed,Passive,0,Passive,Treat Dim Light as Bright. See detail from 1 mile away.
Tubular Eyes,3,Focus,Bonus,0,1 Focus,Next Ranged Attack ignores Cover penalties.
Tubular Eyes,5,True-Sight,Action,0,1/Day,See Invisible/Camouflaged targets for 1 minute.
Magneto-Receptors,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Magneto-Receptors,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Magneto-Receptors,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Lateral Eyes,1,Eagle-Eyed,Passive,0,Passive,Treat Dim Light as Bright. See detail from 1 mile away.
Lateral Eyes,3,Focus,Bonus,0,1 Focus,Next Ranged Attack ignores Cover penalties.
Lateral Eyes,5,True-Sight,Action,0,1/Day,See Invisible/Camouflaged targets for 1 minute.
Olfactory Bulb,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Olfactory Bulb,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Olfactory Bulb,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Gyro-Head,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Gyro-Head,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Gyro-Head,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Facial Disk,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Facial Disk,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Facial Disk,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Crest Display,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Crest Display,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Crest Display,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Spurred Wrists,1,Perch,Passive,0,Passive,Climb Speed equal to Walk Speed. Lock onto surfaces.
Spurred Wrists,3,Rend,Action,0,2 Stamina,Melee Strike. If target is Grappled, deal Max Damage.
Spurred Wrists,5,Execute,Action,0,1/Day,Deal Critical Damage. If target dies, regain 10 HP.
Heavy Pinions,1,Glide,Passive,0,Passive,Negate Fall Damage. Travel speed x2 when descending.
Heavy Pinions,3,Gust,Action,0,2 Stamina,Cone of Wind. Enemies must save (Str) or be Pushed 10ft.
Heavy Pinions,5,Hurricane,Action,0,1/Day,All adjacent enemies are knocked Prone and take 2d6 Bludgeoning.
Bone-Wings,1,Glide,Passive,0,Passive,Negate Fall Damage. Travel speed x2 when descending.
Bone-Wings,3,Gust,Action,0,2 Stamina,Cone of Wind. Enemies must save (Str) or be Pushed 10ft.
Bone-Wings,5,Hurricane,Action,0,1/Day,All adjacent enemies are knocked Prone and take 2d6 Bludgeoning.
Clawed Digits,1,Perch,Passive,0,Passive,Climb Speed equal to Walk Speed. Lock onto surfaces.
Clawed Digits,3,Rend,Action,0,2 Stamina,Melee Strike. If target is Grappled, deal Max Damage.
Clawed Digits,5,Execute,Action,0,1/Day,Deal Critical Damage. If target dies, regain 10 HP.
Swept Wings,1,Glide,Passive,0,Passive,Negate Fall Damage. Travel speed x2 when descending.
Swept Wings,3,Gust,Action,0,2 Stamina,Cone of Wind. Enemies must save (Str) or be Pushed 10ft.
Swept Wings,5,Hurricane,Action,0,1/Day,All adjacent enemies are knocked Prone and take 2d6 Bludgeoning.
Serrated Fringes,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Serrated Fringes,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Serrated Fringes,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Strong Shoulders,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Strong Shoulders,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Strong Shoulders,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Flipper-Wings,1,Glide,Passive,0,Passive,Negate Fall Damage. Travel speed x2 when descending.
Flipper-Wings,3,Gust,Action,0,2 Stamina,Cone of Wind. Enemies must save (Str) or be Pushed 10ft.
Flipper-Wings,5,Hurricane,Action,0,1/Day,All adjacent enemies are knocked Prone and take 2d6 Bludgeoning.
Raptor Claws,1,Perch,Passive,0,Passive,Climb Speed equal to Walk Speed. Lock onto surfaces.
Raptor Claws,3,Rend,Action,0,2 Stamina,Melee Strike. If target is Grappled, deal Max Damage.
Raptor Claws,5,Execute,Action,0,1/Day,Deal Critical Damage. If target dies, regain 10 HP.
Running Struts,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Running Struts,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Running Struts,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Zygodactyl Toes,1,Perch,Passive,0,Passive,Climb Speed equal to Walk Speed. Lock onto surfaces.
Zygodactyl Toes,3,Rend,Action,0,2 Stamina,Melee Strike. If target is Grappled, deal Max Damage.
Zygodactyl Toes,5,Execute,Action,0,1/Day,Deal Critical Damage. If target dies, regain 10 HP.
Stilt Legs,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Stilt Legs,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Stilt Legs,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Cassowary Claw,1,Perch,Passive,0,Passive,Climb Speed equal to Walk Speed. Lock onto surfaces.
Cassowary Claw,3,Rend,Action,0,2 Stamina,Melee Strike. If target is Grappled, deal Max Damage.
Cassowary Claw,5,Execute,Action,0,1/Day,Deal Critical Damage. If target dies, regain 10 HP.
Locking Tendons,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Locking Tendons,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Locking Tendons,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Webbed Feet,1,Perch,Passive,0,Passive,Climb Speed equal to Walk Speed. Lock onto surfaces.
Webbed Feet,3,Rend,Action,0,2 Stamina,Melee Strike. If target is Grappled, deal Max Damage.
Webbed Feet,5,Execute,Action,0,1/Day,Deal Critical Damage. If target dies, regain 10 HP.
Shock Absorbers,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Shock Absorbers,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Shock Absorbers,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Insulating Down,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Insulating Down,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Insulating Down,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Preen Gland,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Preen Gland,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Preen Gland,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Keratin Scales,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Keratin Scales,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Keratin Scales,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Iridescent Plume,1,Glide,Passive,0,Passive,Negate Fall Damage. Travel speed x2 when descending.
Iridescent Plume,3,Gust,Action,0,2 Stamina,Cone of Wind. Enemies must save (Str) or be Pushed 10ft.
Iridescent Plume,5,Hurricane,Action,0,1/Day,All adjacent enemies are knocked Prone and take 2d6 Bludgeoning.
Camo-Plumage,1,Glide,Passive,0,Passive,Negate Fall Damage. Travel speed x2 when descending.
Camo-Plumage,3,Gust,Action,0,2 Stamina,Cone of Wind. Enemies must save (Str) or be Pushed 10ft.
Camo-Plumage,5,Hurricane,Action,0,1/Day,All adjacent enemies are knocked Prone and take 2d6 Bludgeoning.
Hollow Bones,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Hollow Bones,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Hollow Bones,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Crop Pouch,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Crop Pouch,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Crop Pouch,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Thick Skin,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Thick Skin,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Thick Skin,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Syrinx Box,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Syrinx Box,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Syrinx Box,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
Song-Throat,1,Mimicry,Passive,0,Passive,Perfectly replicate sounds heard.
Song-Throat,3,Screech,Action,0,1 Stamina,Cone of Sound. Deafen targets.
Song-Throat,5,Inspire,Action,0,1/Day,Allies gain Advantage on next roll.
