Biome,Description,Factions
The Whispering Savannah,"A vast, broken landscape dominated by tall, waving grasses that can swallow travelers whole, punctuated by rugged outcrops and dense thorny thickets.",Guerrilla Clans
The Canopy Forests,"Massive, high-altitude forests with trees large enough to support civilizations in their branches.",Canopy Clans; Sylvan Empire
The Lush Valley,"A fertile, vibrant valley located between the spurs of the mountain chain, protected from the harsher elements.",Flower Valley Folk
The Petrified Crystal Forest,"Once a living forest, now turned into stone and crystal by Chaos energy, located within the Crystal Basin.",Prism-Scale Collective
The Iron Caldera,"A harsh, endless desert centered around volcanic activity. It features grit, intense heat, and ""Ironwood Oases"".",Ironborn; Dust-Husk Drifters
The Crystal Basin,"An ancient ocean bed turned into a shimmering salt desert after being heaved to the surface.",Prism-Scale Collective
The Crater-Pocked Wasteland,"A desolate, scarred landscape filled with impact craters.",Vaneer Concord
Obsidian Flatlands,"Volcanic plains located on the East Coast near the jungles.",Scute Confederacy
The Rusty Cliffs,"Rocky, inaccessible islands and cliffs along the southern coast.",Marsupial Folk
The Toxic River Delta,"A massive, biologically hazardous river system filled with industrial runoff and natural toxins.",River Folk
The Sump-Mire,"A dark, muddy swamp region similar to a ""Bayou Noir"" setting, featuring heavy fog and submerged dangers.",Sump-Kin; River Syndicate
The Lagoons,"A maze of water channels along the East Coast jungles.",River Folk
Southern Mineral Springs,"Geothermally heated springs in the southern mountains.",Ghosts
The Central Mountain Chain,"A massive range bisecting the continent, featuring snow-capped peaks and deep chasms.",Ursine Hegemony; Avian Empire
The Misty Crags,"A vertical biome of sheer cliffs, deep shadows, and constant fog/mist.",Hive Commonwealth
Volcanic Islands,"Active volcanic chains, particularly in the North.",Coastal Empire
Chaos Zones,"Areas of unstable reality that separate the stable biomes. Physics do not function correctly here.",None
The Impact Crater,"A massive crater roughly in the center of the continent where the ""Engineer"" god rests.",None
The Agricultural Heartland,"Stable, fertile plains used for massive-scale farming.",Heartland Alliance
