Roll,Encounter_Structure,Suggested_Setup
1,The Wandering Healer,An NPC heals wounds/cures diseases for free or cheap.
2,The Oasis,"A safe, comfortable place to rest that restores extra health/morale."
3,The Shrine,"Praying here grants a buff (bless, luck, defense) for 24 hours."
4,Favorable Weather,Wind/weather shifts to speed up travel or improve visibility.
5,The Shortcut,Players find a path that shaves hours/days off the journey.
6,The Feast,Players find abundant food (hunting/foraging) that boosts morale.
7,The Training Montage,An NPC teaches a tip that gives XP or a temporary skill boost.
8,The Merchant Caravan,A well-stocked trader with rare items and fair prices.
9,The Bard's Song,Hearing a song/story inspires the party (removes fear/stress).
10,The Wildlife Boon,Friendly animals alert the party to danger or lead them to water.
11,The Equipment Tune-up,An itinerant smith sharpens weapons/fixes armor for a meal.
12,The Clarity,A moment of insight reveals the location of a quest objective.
13,The Allied Patrol,"Friendly soldiers pass by, offering protection for a short time."
14,The Good Omen,"A sign (rainbow, shooting star) grants a meta-currency (Inspiration/Luck)."
15,The Hot Spring,Relaxing water removes exhaustion and stiffness.
16,The Star-Fall,A meteor lands nearby containing a small amount of rare crafting material.
17,The Abandoned Shelter,"A sturdy, waterproof cabin with dry wood ready for a fire."
18,The Insightful Dream,A player dreams of the solution to a current problem.
19,The Temporary Ally,"A dog/construct follows the party for a day, helping in fights."
20,The Miracle,A major curse or injury is miraculously cured instantly.
