Roll,Encounter_Structure,Suggested_Setup
1,The Abandoned Camp,A campsite left in a hurry. Food is still warm. No tracks lead away.
2,The Unidentifiable Corpse,A body found with strange markings or gear not from this region.
3,The Cryptic Graffiti,A warning or code scrawled on a wall in fresh paint/blood.
4,The Anomalous Object,"An item (clock, doll, weapon) that hums or moves on its own."
5,The Ghost Sound,Players hear a battle or conversation that happened years ago (echo).
6,The Broken Seal,"A container/door marked ""Do Not Open"" is found forced open from the inside."
7,The Map to Nowhere,A map found on a body shows a landmark that doesn't exist anymore.
8,The Repeating Pattern,"Players notice the same symbol appearing in nature (rocks, trees)."
9,The Survivor,A lone survivor of a disaster who is in shock and speaking gibberish.
10,The Out-of-Place Biome,"A patch of snow in the desert, or a tropical tree in the tundra."
11,The Ancient Tech,"A machine from a lost era is running, counting down to something."
12,The Doppelganger Evidence,A player finds a Wanted poster or portrait that looks exactly like them.
13,The Stolen Cargo,Crates marked with a royal seal are found hidden in a ditch.
14,The Ritual Site,"Candles, chalk circles, and reagents arranged for a spell that wasn't finished."
15,The Whispering Idol,A small statue that whispers truths/lies to whoever holds it.
16,The Sabotage,"A bridge or vehicle was deliberately rigged to fail (cut ropes, loose bolts)."
17,The Diary,A journal detailing a descent into madness or a discovery of a secret.
18,The Impossible Footprints,Tracks that start in the middle of a clearing and vanish abruptly.
19,The Beacon,A light in the distance that blinks a coded message.
20,The Frozen Scene,People/animals turned to stone or encased in amber mid-action.
