Name,Type,Cost,Description,Effect,Logic_Tags
Iron Rations (1 Day),Provision,0.5,"Dried meat, hardtack, and nuts.",Prevents starvation. No morale bonus.,PROP:Food|QUALITY:Poor
Traveler's Stew,Provision,1,Hot meal cooked at a campfire.,Restores 1 extra Hit Die during Short Rest.,REST:Bonus_HD|QUALITY:Fair
Fresh Water Skin,Provision,0.2,Leather pouch of water (1 Gallon).,Prevents dehydration for 1 day.,PROP:Drink|CAP:1_Gal
Noble Feast,Provision,10,Exquisite multi-course meal.,Advantage on Con Saves against Disease for 24hr.,BUFF:Advantage:Health|QUALITY:High
Cheap Ale (Pint),Intoxicant,0.1,Watered down beer.,Mild buzz. No mechanical benefit.,PROP:Alcohol|QUAL:Poor
Spiced Wine (Bottle),Intoxicant,5,Fine vintage from the capital.,Advantage on Persuasion for 1 hour. Disadvantage on Reflexs and Finesse.,BUFF:Social|DEBUFF:Dex|PROP:Alcohol
Dwarven Spirits,Intoxicant,2,High-proof liquor.,Advantage vs Fear. Disadvantage on logic/know,BUFF:Fear|DEBUFF:Mental|PROP:Strong
Dreamleaf,Narcotic,10,Mild hallucinogenic herb.,User enters trance. Advantage on intuition.,BUFF:Insight|COND:Trance
Quicksilver Snuff,Narcotic,25,Stimulant powder.,"+1 Action for combat, half speed and disadvantage all rolls until rest. Prolong use worsens side effects and causes addiction which requires long time to wear off",ACT:Bonus|COST:Exhaustion
Void Dust,Narcotic,50,Ground chaotic crystal.,Regain 1 Spell Slot. Roll Chaos Die (Risk of failure).,RESTORE:Slot|RISK:Chaos
Torch,Gear,0.1,Wooden stick with pitch.,Sheds bright light for 20ft (1 Hour).,LIGHT:20ft|DUR:1hr
Oil Lantern,Gear,5,Glass-paned lamp.,Sheds bright light for 30ft (6 Hours/Pint).,LIGHT:30ft|DUR:6hr
Hempen Rope (50ft),Gear,1,Standard durable rope.,Essential for climbing and binding.,PROP:Climb|HP:2
Silk Rope (50ft),Gear,10,"Strong, lightweight rope.",+2 to Stealth checks involving climbing (Quiet).,BUFF:Stealth|HP:4
Backpack,Gear,2,Leather pack with straps.,Increases Carrying Capacity by 30 lbs.,CAP:+30lbs
Bedroll,Gear,1,Padded sleeping roll.,Required to gain Long Rest benefits outdoors.,PROP:Rest
Two-Person Tent,Gear,2,Canvas shelter.,Protects against rain/wind (Avoid Exhaustion).,PROP:Shelter|CAP:2_Person
Crowbar,Gear,2,Iron lever.,Advantage on Strength checks to pry open.,BUFF:Advantage:Open
Manacles,Gear,2,Iron wrist restraints.,Restrains target (DC 20 Strength to break).,COND:Restrained|DC:20
Steel Mirror,Gear,5,Polished steel plate.,Look around corners safely.,EFFECT:Vision
Spyglass,Gear,100,Brass telescope.,Magnifies view x4. Advantage on Spotting at range.,BUFF:Advantage:Perception
Rope Ring,Gear,2,Iron hook with ring.,Anchors rope for climbing.,PROP:Climb
Chalk (10 Pieces),Gear,0.1,Stick of white chalk.,Marking paths or writing messages.,PROP:Marking
Ink & Pen,Gear,10,Vial of ink and quill.,Writing letters or mapping.,PROP:Writing
Inn Stay (Squalid),Service,0.1,Spot on the floor/Hayloft.,Poor rest. Risk of theft.,REST:Poor|RISK:High
Inn Stay (Common),Service,0.5,"Shared room, simple bed.",Standard Long Rest benefits.,REST:Standard
Inn Stay (Luxury),Service,4,"Private suite, bath, servants.",Start next day with Inspiration (1 Reroll).,REST:Lux|BUFF:Inspiration
Bathhouse,Service,1,Hot water and soap.,"Remove ""Dirty/Smelly"" condition. Advantage on next Social.",CURE:Scent|BUFF:Social
Doctor's Visit,Service,10,Professional treatment.,"Treat Disease, Poison, or Restore 2d8 HP.",HEAL:2d8|CURE:Disease
Courier,Service,5,Runner service.,Deliver a letter/package to local town (1 day).,EFFECT:Message
Sage Consultation,Service,25,Research assistance.,Advantage on a Lore check regarding a specific topic.,INFO:Lore
Mercenary (Grunt),Service,2,Hireling warrior (Per Day).,Basic guard. Stats of a Guard.,ALLY:Guard|COST:Daily
Coach Cab,Service,0.2,Local transport.,Travel across city safely.,MOVE:City
Caravan Passage,Service,5,Safe travel between towns.,Guarded travel (No random encounters).,MOVE:Region|SAFE:Yes
Mule,Mount,8,Sturdy beast of burden.,Carries heavy loads. Not for combat.,CAP:High|SPEED:Slow
Riding Horse,Mount,75,Fast travel mount.,Double overland travel speed.,SPEED:Fast|PROP:Mount
Warhorse,Mount,400,Armored combat mount.,Can attack in combat. High HP.,TYPE:Combat|PROP:Mount
Cart,Vehicle,15,Two-wheeled vehicle.,Pulled by 1 beast. Carries 200 lbs.,CAP:200lbs|SLOTS:2
Wagon,Vehicle,35,Four-wheeled vehicle.,Pulled by 2 beasts. Carries 1000 lbs.,CAP:1000lbs|SLOTS:4
Carriage,Vehicle,100,Enclosed transport.,Carries 4 passengers comfortably.,SLOTS:4|PROP:Shelter
Riverboat,Vehicle,50,Small skiff/rowboat.,Water travel. Requires rowing.,TYPE:Water|SPEED:Medium
