Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Faceted Eyes,1,Compound-Sight,Passive,0,Passive,Cannot be Flanked. 360 Vision.
Faceted Eyes,3,Tremor-Sense,Passive,0,1 Focus,Detect moving invisible enemies within 30ft.
Faceted Eyes,5,Analyze,Action,0,1/Day,Reveal all stats/weaknesses of target.
Feelers,1,Compound-Sight,Passive,0,Passive,Cannot be Flanked. 360 Vision.
Feelers,3,Tremor-Sense,Passive,0,1 Focus,Detect moving invisible enemies within 30ft.
Feelers,5,Analyze,Action,0,1/Day,Reveal all stats/weaknesses of target.
Light Sensors,1,Compound-Sight,Passive,0,Passive,Cannot be Flanked. 360 Vision.
Light Sensors,3,Tremor-Sense,Passive,0,1 Focus,Detect moving invisible enemies within 30ft.
Light Sensors,5,Analyze,Action,0,1/Day,Reveal all stats/weaknesses of target.
Chemical Receptors,1,Chitin,Passive,0,Passive,Resistant to Fall Damage.
Chemical Receptors,3,Adapt,Reaction,0,1 Stamina,Reroll a failed physical save.
Chemical Receptors,5,Evolution,Passive,0,1/Day,Gain Resistance to last dmg type taken.
Serrated Jaws,1,Mandibles,Passive,0,Passive,Unarmed strike deals Slashing dmg.
Serrated Jaws,3,Drain,Action,0,2 Stamina,Grapple + Drain HP (Heal self).
Serrated Jaws,5,Sever,Action,0,1/Day,Cut through non-magical weapon/armor.
Needle Mouth,1,Mandibles,Passive,0,Passive,Unarmed strike deals Slashing dmg.
Needle Mouth,3,Drain,Action,0,2 Stamina,Grapple + Drain HP (Heal self).
Needle Mouth,5,Sever,Action,0,1/Day,Cut through non-magical weapon/armor.
Biolum-Glands,1,Silk-Weaver,Utility,0,Passive,Create rope/net over time.
Biolum-Glands,3,Web-Shot,Action,0,2 Stamina,Restrain target (Str Save).
Biolum-Glands,5,Hive-Call,Action,0,1/Day,Summon Swarm of insects.
Ovipositor,1,Chitin,Passive,0,Passive,Resistant to Fall Damage.
Ovipositor,3,Adapt,Reaction,0,1 Stamina,Reroll a failed physical save.
Ovipositor,5,Evolution,Passive,0,1/Day,Gain Resistance to last dmg type taken.
Raptorial Blades,1,Skitter,Passive,0,Passive,Ignore difficult terrain.
Raptorial Blades,3,Power-Jump,Bonus,0,1 Stamina,Jump 30ft horizontally.
Raptorial Blades,5,Mantis-Strike,Reaction,0,1/Day,Attack enemy who missed you.
Crushing Claws,1,Skitter,Passive,0,Passive,Ignore difficult terrain.
Crushing Claws,3,Power-Jump,Bonus,0,1 Stamina,Jump 30ft horizontally.
Crushing Claws,5,Mantis-Strike,Reaction,0,1/Day,Attack enemy who missed you.
Spinneret Wrists,1,Silk-Weaver,Utility,0,Passive,Create rope/net over time.
Spinneret Wrists,3,Web-Shot,Action,0,2 Stamina,Restrain target (Str Save).
Spinneret Wrists,5,Hive-Call,Action,0,1/Day,Summon Swarm of insects.
Barbed Forelegs,1,Skitter,Passive,0,Passive,Ignore difficult terrain.
Barbed Forelegs,3,Power-Jump,Bonus,0,1 Stamina,Jump 30ft horizontally.
Barbed Forelegs,5,Mantis-Strike,Reaction,0,1/Day,Attack enemy who missed you.
Flat-Plate Arms,1,Chitin,Passive,0,Passive,Resistant to Fall Damage.
Flat-Plate Arms,3,Adapt,Reaction,0,1 Stamina,Reroll a failed physical save.
Flat-Plate Arms,5,Evolution,Passive,0,1/Day,Gain Resistance to last dmg type taken.
Tiny Claws,1,Skitter,Passive,0,Passive,Ignore difficult terrain.
Tiny Claws,3,Power-Jump,Bonus,0,1 Stamina,Jump 30ft horizontally.
Tiny Claws,5,Mantis-Strike,Reaction,0,1/Day,Attack enemy who missed you.
Spade Limbs,1,Chitin,Passive,0,Passive,Resistant to Fall Damage.
Spade Limbs,3,Adapt,Reaction,0,1 Stamina,Reroll a failed physical save.
Spade Limbs,5,Evolution,Passive,0,1/Day,Gain Resistance to last dmg type taken.
Hypodermic Spurs,1,Chitin,Passive,0,Passive,Resistant to Fall Damage.
Hypodermic Spurs,3,Adapt,Reaction,0,1 Stamina,Reroll a failed physical save.
Hypodermic Spurs,5,Evolution,Passive,0,1/Day,Gain Resistance to last dmg type taken.
Multi-Legs,1,Skitter,Passive,0,Passive,Ignore difficult terrain.
Multi-Legs,3,Power-Jump,Bonus,0,1 Stamina,Jump 30ft horizontally.
Multi-Legs,5,Mantis-Strike,Reaction,0,1/Day,Attack enemy who missed you.
Hydraulic Knees,1,Skitter,Passive,0,Passive,Ignore difficult terrain.
Hydraulic Knees,3,Power-Jump,Bonus,0,1 Stamina,Jump 30ft horizontally.
Hydraulic Knees,5,Mantis-Strike,Reaction,0,1/Day,Attack enemy who missed you.
Hooked Tarsi,1,Skitter,Passive,0,Passive,Ignore difficult terrain.
Hooked Tarsi,3,Power-Jump,Bonus,0,1 Stamina,Jump 30ft horizontally.
Hooked Tarsi,5,Mantis-Strike,Reaction,0,1/Day,Attack enemy who missed you.
Surface Tension,1,Chitin,Passive,0,Passive,Resistant to Fall Damage.
Surface Tension,3,Adapt,Reaction,0,1 Stamina,Reroll a failed physical save.
Surface Tension,5,Evolution,Passive,0,1/Day,Gain Resistance to last dmg type taken.
Buzzing Wings,1,Flutter,Passive,0,Passive,Feather fall effect.
Buzzing Wings,3,Buzz,Action,0,1 Stamina,Deafen/Distract targets nearby.
