Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Tapetum Lucidum,1,Night-Eye,Passive,0,Passive,Treat Dim Light as Bright. No penalty in darkness.
Tapetum Lucidum,3,Focus,Bonus,0,1 Focus,Next Ranged Attack ignores Cover penalties.
Tapetum Lucidum,5,Predator-Sight,Action,0,1/Day,See Invisible targets and thermal signatures.
Wet Nose,1,Tracker,Passive,0,Passive,Advantage on Survival checks to track by smell.
Wet Nose,3,Scent-Danger,Passive,0,1 Focus,Cannot be Surprised by enemies with a scent.
Wet Nose,5,Blood-Frenzy,Action,0,1/Day,Advantage on all attacks vs target below 50% HP.
Swivel Ears,1,Alert,Passive,0,Passive,+2 to Passive Perception.
Swivel Ears,3,Eavesdrop,Action,0,1 Stamina,Hear through doors/walls clearly.
Swivel Ears,5,Sonar,Action,0,1/Day,Pinpoint all moving creatures within 60ft.
Long Whiskers,1,Tracker,Passive,0,Passive,Advantage on Survival checks to track by smell.
Long Whiskers,3,Scent-Danger,Passive,0,1 Focus,Cannot be Surprised by enemies with a scent.
Long Whiskers,5,Blood-Frenzy,Action,0,1/Day,Advantage on all attacks vs target below 50% HP.
Pit Organs,1,Night-Eye,Passive,0,Passive,Treat Dim Light as Bright. No penalty in darkness.
Pit Organs,3,Focus,Bonus,0,1 Focus,Next Ranged Attack ignores Cover penalties.
Pit Organs,5,Predator-Sight,Action,0,1/Day,See Invisible targets and thermal signatures.
Fovea Lens,1,Night-Eye,Passive,0,Passive,Treat Dim Light as Bright. No penalty in darkness.
Fovea Lens,3,Focus,Bonus,0,1 Focus,Next Ranged Attack ignores Cover penalties.
Fovea Lens,5,Predator-Sight,Action,0,1/Day,See Invisible targets and thermal signatures.
Mobile Brow,1,Alert,Passive,0,Passive,+2 to Passive Perception.
Mobile Brow,3,Eavesdrop,Action,0,1 Stamina,Hear through doors/walls clearly.
Mobile Brow,5,Sonar,Action,0,1/Day,Pinpoint all moving creatures within 60ft.
Cranial Ridge,1,Alert,Passive,0,Passive,+2 to Passive Perception.
Cranial Ridge,3,Eavesdrop,Action,0,1 Stamina,Hear through doors/walls clearly.
Cranial Ridge,5,Sonar,Action,0,1/Day,Pinpoint all moving creatures within 60ft.
Retractable Claws,1,Climber,Passive,0,Passive,Climb Speed = Walk Speed.
Retractable Claws,3,Rend,Action,0,2 Stamina,Melee Strike. Deal extra Bleed damage.
Retractable Claws,5,Latch,Action,0,1/Day,Auto-Grapple target. They cannot escape for 1 turn.
Heavy Paws,1,Climber,Passive,0,Passive,Climb Speed = Walk Speed.
Heavy Paws,3,Rend,Action,0,2 Stamina,Melee Strike. Deal extra Bleed damage.
Heavy Paws,5,Latch,Action,0,1/Day,Auto-Grapple target. They cannot escape for 1 turn.
Opposable Thumbs,1,Tool-Use,Passive,0,Passive,Can use complex weapons and items.
Opposable Thumbs,3,Quick-Swap,Bonus,0,1 Stamina,Draw/Stow or Reload as free action.
Opposable Thumbs,5,Craftsman,Utility,0,1/Day,Repair a Broken item instantly.
Webbed Digits,1,Tool-Use,Passive,0,Passive,Can use complex weapons and items.
Webbed Digits,3,Quick-Swap,Bonus,0,1 Stamina,Draw/Stow or Reload as free action.
Webbed Digits,5,Craftsman,Utility,0,1/Day,Repair a Broken item instantly.
Hooves,1,Sure-Footed,Passive,0,Passive,Ignore Difficult Terrain.
Hooves,3,Trample,Action,0,3 Stamina,Move through enemy space. Knock Prone.
Hooves,5,Thunder-Stomp,Action,0,1/Day,AoE Stun in 10ft radius.
Padded Feet,1,Silent-Step,Passive,0,Passive,Advantage on Stealth checks to move quietly.
Padded Feet,3,Leap,Action,0,1 Stamina,Jump distance doubled.
Padded Feet,5,Cat-Fall,Reaction,0,1/Day,Take 0 Fall Damage.
Digging Claws,1,Climber,Passive,0,Passive,Climb Speed = Walk Speed.
Digging Claws,3,Rend,Action,0,2 Stamina,Melee Strike. Deal extra Bleed damage.
Digging Claws,5,Latch,Action,0,1/Day,Auto-Grapple target. They cannot escape for 1 turn.
Iron Hooves,1,Sure-Footed,Passive,0,Passive,Ignore Difficult Terrain.
Iron Hooves,3,Trample,Action,0,3 Stamina,Move through enemy space. Knock Prone.
Iron Hooves,5,Thunder-Stomp,Action,0,1/Day,AoE Stun in 10ft radius.
Thick Fur,1,Insulated,Passive,0,Passive,Resistance to Cold Damage.
Thick Fur,3,Bristle,Reaction,0,1 Stamina,+2 AC against one attack.
Thick Fur,5,Shake-Off,Action,0,1/Day,Remove all Wet/Frozen/Dirty status effects.
Quill-Coat,1,Insulated,Passive,0,Passive,Resistance to Cold Damage.
Quill-Coat,3,Bristle,Reaction,0,1 Stamina,+2 AC against one attack.
Quill-Coat,5,Shake-Off,Action,0,1/Day,Remove all Wet/Frozen/Dirty status effects.
Blubber Layer,1,Tough,Passive,0,Passive,+1 HP per Level.
Blubber Layer,3,Shrug-Off,Reaction,0,2 Stamina,Reduce incoming Physical Damage by half.
Blubber Layer,5,Impervious,Reaction,0,1/Day,Ignore one Critical Hit.
Calloused Hide,1,Tough,Passive,0,Passive,+1 HP per Level.
Calloused Hide,3,Shrug-Off,Reaction,0,2 Stamina,Reduce incoming Physical Damage by half.
Calloused Hide,5,Impervious,Reaction,0,1/Day,Ignore one Critical Hit.
Loose Skin,1,Tough,Passive,0,Passive,+1 HP per Level.
Loose Skin,3,Shrug-Off,Reaction,0,2 Stamina,Reduce incoming Physical Damage by half.
Loose Skin,5,Impervious,Reaction,0,1/Day,Ignore one Critical Hit.
Chroma-Fur,1,Insulated,Passive,0,Passive,Resistance to Cold Damage.
Chroma-Fur,3,Bristle,Reaction,0,1 Stamina,+2 AC against one attack.
Chroma-Fur,5,Shake-Off,Action,0,1/Day,Remove all Wet/Frozen/Dirty status effects.
Spiked Fur,1,Insulated,Passive,0,Passive,Resistance to Cold Damage.
Spiked Fur,3,Bristle,Reaction,0,1 Stamina,+2 AC against one attack.
Spiked Fur,5,Shake-Off,Action,0,1/Day,Remove all Wet/Frozen/Dirty status effects.
Prehensile Tail,1,Balance,Passive,0,Passive,Advantage on Acrobatics.
Prehensile Tail,3,Trip,Bonus,0,2 Stamina,Knock adjacent target Prone.
Prehensile Tail,5,Hangman,Action,0,1/Day,Hang from tail to gain High Ground bonus.
Hairless Tail,1,Balance,Passive,0,Passive,Advantage on Acrobatics.
Hairless Tail,3,Trip,Bonus,0,2 Stamina,Knock adjacent target Prone.
Hairless Tail,5,Hangman,Action,0,1/Day,Hang from tail to gain High Ground bonus.
Stub Tail,1,Balance,Passive,0,Passive,Advantage on Acrobatics.
Stub Tail,3,Trip,Bonus,0,2 Stamina,Knock adjacent target Prone.
Stub Tail,5,Hangman,Action,0,1/Day,Hang from tail to gain High Ground bonus.
Counter-Tail,1,Balance,Passive,0,Passive,Advantage on Acrobatics.
Counter-Tail,3,Trip,Bonus,0,2 Stamina,Knock adjacent target Prone.
Counter-Tail,5,Hangman,Action,0,1/Day,Hang from tail to gain High Ground bonus.
Musk Glands,1,Resist-Toxin,Passive,0,Passive,Advantage on Con saves vs Poison.
Musk Glands,3,Spray,Action,0,2 Stamina,Cone of Musk/Poison. Blindness or Poisoned.
Musk Glands,5,Cloud,Action,0,1/Day,Create 15ft zone of Stinking Cloud.
Toxic Sacs,1,Resist-Toxin,Passive,0,Passive,Advantage on Con saves vs Poison.
Toxic Sacs,3,Spray,Action,0,2 Stamina,Cone of Musk/Poison. Blindness or Poisoned.
Toxic Sacs,5,Cloud,Action,0,1/Day,Create 15ft zone of Stinking Cloud.
Flight Flaps,1,Glide,Passive,0,Passive,Fall slowly. No fall damage.
Flight Flaps,3,Swoop,Action,0,2 Stamina,Fly speed 30ft for 1 turn.
Flight Flaps,5,Dive-Bomb,Action,0,1/Day,Attack from above with Advantage.
Resonance Throat,1,Adaptation,Passive,0,Passive,Gain +1 to associated Stat.
Resonance Throat,3,Survivor,Reaction,0,1 Stamina,Reroll a failed Save.
Resonance Throat,5,Adrenaline,Action,0,1/Day,Take an extra Action this turn.
Antlers,1,Intimidating,Passive,0,Passive,Advantage on Intimidation.
Antlers,3,Gore,Action,0,2 Stamina,Charge Attack. Deal double damage to structures.
Antlers,5,Parry,Reaction,0,1/Day,Block melee attack with horns (0 Damage).
Horns,1,Intimidating,Passive,0,Passive,Advantage on Intimidation.
Horns,3,Gore,Action,0,2 Stamina,Charge Attack. Deal double damage to structures.
Horns,5,Parry,Reaction,0,1/Day,Block melee attack with horns (0 Damage).
Tusks,1,Intimidating,Passive,0,Passive,Advantage on Intimidation.
Tusks,3,Gore,Action,0,2 Stamina,Charge Attack. Deal double damage to structures.
Tusks,5,Parry,Reaction,0,1/Day,Block melee attack with horns (0 Damage).
Mane,1,Insulated,Passive,0,Passive,Resistance to Cold Damage.
Mane,3,Bristle,Reaction,0,1 Stamina,+2 AC against one attack.
Mane,5,Shake-Off,Action,0,1/Day,Remove all Wet/Frozen/Dirty status effects.
Pouch,1,Adaptation,Passive,0,Passive,Gain +1 to associated Stat.
Pouch,3,Survivor,Reaction,0,1 Stamina,Reroll a failed Save.
Pouch,5,Adrenaline,Action,0,1/Day,Take an extra Action this turn.
Hump,1,Adaptation,Passive,0,Passive,Gain +1 to associated Stat.
Hump,3,Survivor,Reaction,0,1 Stamina,Reroll a failed Save.
Hump,5,Adrenaline,Action,0,1/Day,Take an extra Action this turn.
Wool,1,Insulated,Passive,0,Passive,Resistance to Cold Damage.
Wool,3,Bristle,Reaction,0,1 Stamina,+2 AC against one attack.
Wool,5,Shake-Off,Action,0,1/Day,Remove all Wet/Frozen/Dirty status effects.
Armored Plates,1,Tough,Passive,0,Passive,+1 HP per Level.
Armored Plates,3,Shrug-Off,Reaction,0,2 Stamina,Reduce incoming Physical Damage by half.
Armored Plates,5,Impervious,Reaction,0,1/Day,Ignore one Critical Hit.
Beaver Tail,1,Balance,Passive,0,Passive,Advantage on Acrobatics.
Beaver Tail,3,Trip,Bonus,0,2 Stamina,Knock adjacent target Prone.
Beaver Tail,5,Hangman,Action,0,1/Day,Hang from tail to gain High Ground bonus.
