Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Photosensors,1,Solar-Charge,Passive,0,Passive,Regain 1 Stamina per hour in sunlight.
Photosensors,3,Camo,Action,0,1 Focus,Change color. Invisible while stationary.
Photosensors,5,Beam,Action,0,1/Day,Fire Laser. Radiant Damage line.
Root-Nerves,1,Anchor,Passive,0,Passive,Advantage vs Knockback/Prone.
Root-Nerves,3,Entangle,Action,0,2 Stamina,Ranged Grapple (30ft). Target Restrained.
Root-Nerves,5,Earthquake,Action,0,1/Day,Knock all ground enemies Prone in 15ft radius.
Scent-Glands,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Scent-Glands,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Scent-Glands,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Mycelium-Brain,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Mycelium-Brain,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Mycelium-Brain,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Thermal-Pits,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Thermal-Pits,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Thermal-Pits,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Chemo-Receptors,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Chemo-Receptors,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Chemo-Receptors,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Sweet-Nectar,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Sweet-Nectar,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Sweet-Nectar,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Moisture-Sense,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Moisture-Sense,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Moisture-Sense,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Heavy Branches,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Heavy Branches,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Heavy Branches,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Whip-Limbs,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Whip-Limbs,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Whip-Limbs,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Needle-Fingers,1,Barbed,Passive,0,Passive,Grapplers take 1d4 damage per turn.
Needle-Fingers,3,Volley,Action,0,2 Stamina,Shoot spines. Cone 15ft. Dex Save.
Needle-Fingers,5,Explode,Reaction,0,1/Day,When hit, deal attacker equal damage.
Puff-Ball Hands,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Puff-Ball Hands,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Puff-Ball Hands,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Fly-Trap Jaws,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Fly-Trap Jaws,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Fly-Trap Jaws,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Sticky Palms,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Sticky Palms,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Sticky Palms,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Cactus-Spines,1,Barbed,Passive,0,Passive,Grapplers take 1d4 damage per turn.
Cactus-Spines,3,Volley,Action,0,2 Stamina,Shoot spines. Cone 15ft. Dex Save.
Cactus-Spines,5,Explode,Reaction,0,1/Day,When hit, deal attacker equal damage.
Root-Fists,1,Anchor,Passive,0,Passive,Advantage vs Knockback/Prone.
Root-Fists,3,Entangle,Action,0,2 Stamina,Ranged Grapple (30ft). Target Restrained.
Root-Fists,5,Earthquake,Action,0,1/Day,Knock all ground enemies Prone in 15ft radius.
Stump-Roots,1,Anchor,Passive,0,Passive,Advantage vs Knockback/Prone.
Stump-Roots,3,Entangle,Action,0,2 Stamina,Ranged Grapple (30ft). Target Restrained.
Stump-Roots,5,Earthquake,Action,0,1/Day,Knock all ground enemies Prone in 15ft radius.
Vine-Mass,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Vine-Mass,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Vine-Mass,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Spore-Cloud,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
Spore-Cloud,3,Sneeze,Action,0,2 Stamina,Target Confused/Stunned (Con Save).
Spore-Cloud,5,Infect,Action,0,1/Day,Target becomes Ally for 1 hour (Mind Control).
Roll-Cage,1,Hive-Mind,Passive,0,Passive,Telepathic bond with other Plants.
