Body Part,Rank,Skill Name,Type,Reserve Cost,Limit / Burn,Effect
Pit Organs,1,Thermal-Gaze,Passive,0,Passive,See heat signatures through walls/darkness.
Pit Organs,3,Focus-Lock,Bonus,0,1 Focus,Next attack ignores Cover penalties.
Pit Organs,5,Hypnotic-Stare,Action,0,1/Day,Stun target with eye contact (Will Save).
Forked Tongue,1,Scent-Taste,Passive,0,Passive,Track blood scent from 1 mile away.
Forked Tongue,3,Snap-Bite,Action,0,1 Stamina,Melee Strike. Auto-Grapple on hit.
Forked Tongue,5,Neurotoxin,Action,0,1/Day,Bite deals Paralysis or Massive Poison Dmg.
Swivel Eyes,1,Thermal-Gaze,Passive,0,Passive,See heat signatures through walls/darkness.
Swivel Eyes,3,Focus-Lock,Bonus,0,1 Focus,Next attack ignores Cover penalties.
Swivel Eyes,5,Hypnotic-Stare,Action,0,1/Day,Stun target with eye contact (Will Save).
Nictitating Membrane,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Nictitating Membrane,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Nictitating Membrane,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Spectacle Hood,1,Thermal-Gaze,Passive,0,Passive,See heat signatures through walls/darkness.
Spectacle Hood,3,Focus-Lock,Bonus,0,1 Focus,Next attack ignores Cover penalties.
Spectacle Hood,5,Hypnotic-Stare,Action,0,1/Day,Stun target with eye contact (Will Save).
Parietal Eye,1,Thermal-Gaze,Passive,0,Passive,See heat signatures through walls/darkness.
Parietal Eye,3,Focus-Lock,Bonus,0,1 Focus,Next attack ignores Cover penalties.
Parietal Eye,5,Hypnotic-Stare,Action,0,1/Day,Stun target with eye contact (Will Save).
Locking Jaw,1,Scent-Taste,Passive,0,Passive,Track blood scent from 1 mile away.
Locking Jaw,3,Snap-Bite,Action,0,1 Stamina,Melee Strike. Auto-Grapple on hit.
Locking Jaw,5,Neurotoxin,Action,0,1/Day,Bite deals Paralysis or Massive Poison Dmg.
Venom Glands,1,Scent-Taste,Passive,0,Passive,Track blood scent from 1 mile away.
Venom Glands,3,Snap-Bite,Action,0,1 Stamina,Melee Strike. Auto-Grapple on hit.
Venom Glands,5,Neurotoxin,Action,0,1/Day,Bite deals Paralysis or Massive Poison Dmg.
Muscular Coils,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Muscular Coils,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Muscular Coils,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Sickle Claws,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Sickle Claws,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Sickle Claws,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Van der Waals Pads,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Van der Waals Pads,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Van der Waals Pads,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Club-Fists,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Club-Fists,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
Club-Fists,5,Death-Roll,Action,0,1/Day,Rip limb/armor off Grappled target.
Hollow Spurs,1,Cold-Blooded,Passive,0,Passive,Reduced food/water requirement.
Hollow Spurs,3,Surge,Action,0,1 Stamina,Burst of speed/strength.
Hollow Spurs,5,Apex,Action,0,1/Day,Auto-Crit on next attack.
Spade Claws,1,Wall-Crawler,Passive,0,Passive,Climb sheer surfaces without checks.
Spade Claws,3,Constrict,Action,0,2 Stamina,Crush Grappled target (Auto-Hit Dmg).
