School,Attribute,Tier,Type,Name,Damage_Type,Description
Mass,Might,1,Offense,Push,Force,Shove target away (Knockback).
Mass,Might,1,Defense,Brace,Force,Ignore Knockback or Prone effects.
Mass,Might,1,Utility,Lift,Force,Reduce the weight of an object.
Mass,Might,2,Offense,Pull,Force,Drag target closer to you.
Mass,Might,2,Defense,Catch,Force,Stop a physical projectile mid-air.
Mass,Might,2,Utility,Jump,Force,Boost jump height/distance significantly.
Mass,Might,3,Offense,Slam,Force,Knock target Prone with heavy force.
Mass,Might,3,Defense,Repel,Force,Deflect arrows/bolts aimed at you.
Mass,Might,3,Utility,Burden,Force,Increase weight of target (Slow).
Mass,Might,4,Offense,Crush,Force,Constrict/Squeeze target (Grapple).
Mass,Might,4,Defense,Dense,Force,Reduce incoming Physical Damage.
Mass,Might,4,Utility,Climb,Force,Spider Climb (Shift gravity).
Mass,Might,5,Offense,Launch,Force,Fling enemy a long distance.
Mass,Might,5,Defense,Orbit,Force,Shield of debris circles you.
Mass,Might,5,Utility,Feather,Force,Slow Fall / No fall damage.
Mass,Might,6,Offense,Breach,Force,Destroy cover or walls instantly.
Mass,Might,6,Defense,Heavy,Force,You cannot be moved against your will.
Mass,Might,6,Utility,Float,Force,Levitate self or object.
Mass,Might,7,Offense,Flatten,Force,Compress target into 2D space.
Mass,Might,7,Defense,Nullify,Force,Stop all momentum in an area.
Mass,Might,7,Utility,Fly,Force,True Flight (Control Gravity).
Mass,Might,8,Offense,Implode,Force,Create a vacuum (Massive Damage).
Mass,Might,8,Defense,Field,Force,Anti-Gravity Aura (Enemies float).
Mass,Might,8,Utility,Reverse,Force,Flip gravity (Ceiling is floor).
Mass,Might,9,Offense,Meteor,Force,Orbital Strike from above.
Mass,Might,9,Defense,Event Horizon,Force,Absorb incoming magical projectiles.
Mass,Might,9,Utility,Well,Force,Create heavy Gravity Well.
Mass,Might,10,Offense,Erase,Force,Delete matter from existence.
Mass,Might,10,Defense,Invincible,Force,Infinite Mass (Cannot be hurt).
