Talent_Name,Type,Requirement_Type,Requirement_ID,Requirement_Value,Description,Effect_Logic
Herculean Effort,Active,Attribute_Score,MIGHT,16,Once per day automatically succeed on a Strength-based check to lift or break something.,auto_success(might_check)
Titan's Grip,Passive,Attribute_Score,MIGHT,20,You can wield Two-Handed weapons in one hand.,equip_slot_override(2h_as_1h)
Marathoner,Passive,Attribute_Score,ENDURANCE,16,You never suffer exhaustion from travel or lack of sleep (must still rest for HP).,immunity(exhaustion_travel)
Unkillable,Reaction,Attribute_Score,ENDURANCE,20,If you would die you instead drop to 1 HP and become immune to damage for 1 round.,cheat_death(1_per_day)
Surgical Precision,Passive,Attribute_Score,FINESSE,16,You can reroll any 1s rolled on damage or skill checks involving dexterity.,reroll_1s(finesse)
Perfect Strike,Passive,Attribute_Score,FINESSE,20,Your Critical Hit range expands by 2 (eg 18-20).,crit_range_expand(2)
Lightning Reflexes,Passive,Attribute_Score,REFLEXES,16,You add your Reflex bonus to your Initiative rolls twice.,initiative_mult(2.0)
Bullet Time,Active,Attribute_Score,REFLEXES,20,Take two full Actions in a single turn (Once per long rest).,action_surge
Primal Vigor,Passive,Attribute_Score,VITALITY,16,Regenerate HP equal to your Vitality bonus every hour.,regen_hourly
Timeless Body,Passive,Attribute_Score,VITALITY,20,You stop aging and are immune to all non-magical diseases and poisons.,immunity(age;disease;poison)
Thick Skinned,Passive,Attribute_Score,FORTITUDE,16,Gain +1 Max HP for every level you have (retroactive).,hp_bonus_level(1)
Impervious,Passive,Attribute_Score,FORTITUDE,20,Reduce all incoming physical damage by your Fortitude bonus.,damage_reduction(flat_fort)
Polymath,Passive,Attribute_Score,KNOWLEDGE,16,You are considered Proficient in all Lore skills even untrained ones.,skill_proficiency(all_lore)
Living Library,Active,Attribute_Score,KNOWLEDGE,20,Once per day ask the GM a specific question about the world; they must answer truthfully.,meta_knowledge(truth)
Calculated Risk,Active,Attribute_Score,LOGIC,16,Analyze an enemy to gain Advantage on all attacks against them for 1 minute.,buff_advantage(target)
Mastermind,Passive,Attribute_Score,LOGIC,20,You can retroactively declare you prepared for this specific situation (have the right item/key).,flashback_mechanic
Sentinel,Passive,Attribute_Score,AWARENESS,16,You cannot be surprised while you are conscious.,immunity(surprise)
True Sight,Active,Attribute_Score,AWARENESS,20,See through Invisibility and Illusions out to 60ft.,vision_true(60ft)
Trust Your Gut,Passive,Attribute_Score,INTUITION,16,The GM will warn you if you are about to walk into a lethal trap or impossible fight.,danger_sense_meta
Fate Bender,Reaction,Attribute_Score,INTUITION,20,Force any creature (ally or enemy) to reroll a die just rolled.,reroll_target(any)
Magnetism,Passive,Attribute_Score,CHARM,16,Merchants buy items for 20% more and sell for 20% less to you.,economy_bonus
Cult Leader,Passive,Attribute_Score,CHARM,20,You can attract a dedicated follower (NPC) who serves you loyally until death.,follower_spawn
Iron Will,Passive,Attribute_Score,WILLPOWER,16,You have Advantage on all saves against Magic.,save_advantage(magic)
Unshakable,Active,Attribute_Score,WILLPOWER,20,You are immune to Mind Control Possession and Fear.,immunity(mind_control;fear)
